ac_no,Candidate,Party,% of Votes,Total Votes,,
3,SALLOUDEEN RAJA,Lok Dal,0.05%,"15,3",,
3,PULKIT THAKRAL,Independent,0.04%,"10,4",,
4,Ashu Malik,Samajwadi Party,41.18%,"10,7007",,
4,JAGPAL SINGH,Bharatiya Janata Party,29.35%,"76,262",,
4,Ajab Singh,Bahujan Samaj Party,24.1%,"62,637",,
4,Margoob,All India Majlis-E-Ittehadul Muslimeen,3.15%,"81,87",,
4,QURBAN,Aazad Samaj Party (Kanshi Ram),0.68%,"17,64",,
4,SANDEEP KUMAR,Indian National Congress,0.47%,"12,17",,
4,NOTA,None of the Above,0.36%,"92,3",,
4,Yogesh Dahiya,Aam Aadmi Party,0.18%,"47,6",,
4,SHABREJ,Independent,0.15%,"37,7",,
4,LOKESH KUMAR,Independent,0.13%,"34,9",,
4,RIYASAT,Aamjan Ekta Party,0.07%,"19,1",,
4,RAJITA,Independent,0.07%,"17,7",,
4,VAHID ALI KHAN,Log Party,0.05%,"12,6",,
4,PINKI KUMARI,Independent,0.03%,"84,",,
4,MEWA LAL,Bharatrashtra Democratic Party,0.03%,"78,",,
5,BRIJESH,Bharatiya Janata Party,38.77%,"93,890",,
5,Kartikey Rana,Samajwadi Party,35.83%,"86,786",,
5,CHOUDHARY RAJENDRA SINGH,Bahujan Samaj Party,21.77%,"52,732",,
5,UMAIR MADANI,All India Majlis-E-Ittehadul Muslimeen,1.45%,"35,01",,
5,YOGESH PRATAP SINGH,Aazad Samaj Party (Kanshi Ram),0.76%,"18,48",,
5,RAHAT KHALIL,Indian National Congress,0.45%,"10,96",,
5,NOTA,None of the Above,0.3%,"72,9",,
5,VIJENDRA,Independent,0.25%,"61,6",,
5,NAUSHAD,Sanyukt Vikas Party,0.2%,"48,8",,
5,JAHEER,Jansatta Party,0.11%,"26,4",,
5,PRAVEEN KUMAR DHIMAN,Aam Aadmi Party,0.1%,"24,3",,
6,Devender Kumar Nim,Bharatiya Janata Party,38.37%,"89,109",,
6,RAVINDRA KUMAR,Bahujan Samaj Party,29.5%,"68,516",,
6,VIVEK KANT,Rashtriya Lok Dal,27.93%,"64,864",,
6,BRIJPAL SINGH,Aazad Samaj Party (Kanshi Ram),1.98%,"46,06",,
6,OMPAL SINGH,Indian National Congress,0.66%,"15,44",,
6,D. P. SINGH,Bahujan Mukti Party,0.51%,"11,74",,
6,SACHIN KUMAR,India Janshakti Party,0.4%,"92,9",,
6,NOTA,None of the Above,0.29%,"67,0",,
6,ARVIND KUMAR,Aam Aadmi Party,0.25%,"57,3",,
6,JAI PAL SINGH,Lok Dal,0.11%,"24,8",,
7,KIRAT SINGH,Bharatiya Janata Party,43.08%,"11,6582",,
7,INDER SAIN,Samajwadi Party,34.42%,"93,133",,
7,NOMAN MASOOD,Bahujan Samaj Party,20.35%,"55,078",,
7,MAUSAM ALI RANA,Aazad Samaj Party (Kanshi Ram),0.97%,"26,17",,
7,ASHOK KUMAR SAINI,Indian National Congress,0.72%,"19,36",,
7,NOTA,None of the Above,0.22%,"60,4",,
7,VAKAR AZHAR,Bahujan Mukti Party,0.13%,"36,4",,
7,RAJVEER,Independent,0.1%,"27,6",,
8,Nahid Hasan,Samajwadi Party,54.16%,"13,1035",,
8,MRIGANKA SINGH,Bharatiya Janata Party,43.46%,"10,5148",,
8,RAJENDERA,Bahujan Samaj Party,0.86%,"20,77",,
8,AKHLAK,Indian National Congress,0.63%,"15,22",,
8,NOTA,None of the Above,0.25%,"59,3",,
8,SETHPAL,Independent,0.17%,"40,9",,
8,HARUN ALI,Independent,0.13%,"31,5",,
8,ISRAR,Independent,0.11%,"27,2",,
8,DEVI SINGH,Aazad Samaj Party (Kanshi Ram),0.1%,"24,8",,
8,VIJAY KUMAR,Independent,0.08%,"18,6",,
8,SANGEETA,Aam Aadmi Party,0.06%,"14,2",,
9,Ashraf Ali Khan,Rashtriya Lok Dal,47.47%,"10,3751",,
9,Suresh Kumar,Bharatiya Janata Party,42.53%,"92,945",,
9,Zaheer Malik,Bahujan Samaj Party,5.05%,"11,039",,
9,Sherpal Urf Sudhir Urf Sher Singh,Independent,1.82%,"39,75",,
9,Rakesh Kumar,Aazad Samaj Party (Kanshi Ram),1.46%,"31,88",,
9,Satya Sanyam Bhuryan,Indian National Congress,0.36%,"79,3",,
9,NOTA,None of the Above,0.36%,"78,9",,
9,Saddam,SOCIAL DEMOCRATIC PARTY OF INDIA,0.32%,"70,3",,
9,Arvind Deshwal,Aam Aadmi Party,0.31%,"67,4",,
9,Rama Adil,Independent,0.16%,"35,9",,
9,Ikram,All India Majlis-E-Ittehadul Muslimeen,0.15%,"32,5",,
10,Persann Kumar,Rashtriya Lok Dal,48.86%,"10,3070",,
10,Tejendra Singh,Bharatiya Janata Party,45.49%,"95,963",,
10,Bijendra,Bahujan Samaj Party,3.88%,"81,83",,
10,NOTA,None of the Above,0.38%,"79,9",,
10,Mohmmad Ayub Jang,Indian National Congress,0.37%,"78,0",,
10,Asim,Independent,0.3%,"64,2",,
10,Lalit Kumar,Independent,0.24%,"49,8",,
10,Sunita Devi,Sarvjan Lok Shakti Party,0.21%,"43,9",,
10,Bijendra,Aam Aadmi Party,0.12%,"25,8",,
10,Dhurendar Singh,Independent,0.11%,"22,2",,
10,Ajay,Independent,0.05%,"98,",,
11,Rajpal Singh Baliyan,Rashtriya Lok Dal,51.28%,"13,1093",,
11,Umesh Malik,Bharatiya Janata Party,40.21%,"10,2783",,
11,Anees,Bahujan Samaj Party,4.07%,"10,397",,
11,Bheem Singh,All India Majlis-E-Ittehadul Muslimeen,1.03%,"26,33",,
11,Devendra Kumar,Indian National Congress,0.96%,"24,52",,
11,Saleem,Aazad Samaj Party (Kanshi Ram),0.82%,"20,99",,
11,NOTA,None of the Above,0.42%,"10,70",,
11,Devendra Malik Pahalwan,Aam Aadmi Party,0.41%,"10,41",,
11,Anu Kumar,Independent,0.32%,"81,0",,
11,Rajendra Kumar,Independent,0.27%,"68,1",,
11,Arvind Kumar,Independent,0.13%,"32,2",,
11,Captain Neel Kumar,Jai Samta Party,0.1%,"24,3",,
12,Pankaj Kumar Malik,Samajwadi Party,43.82%,"97,363",,
12,Sapna Kashyap,Bharatiya Janata Party,41.42%,"92,029",,
12,Salman Sayeed,Bahujan Samaj Party,11.31%,"25,131",,
12,Tahir Husain Ansari,All India Majlis-E-Ittehadul Muslimeen,1.46%,"32,34",,
12,Yasmeen Rao,Indian National Congress,0.43%,"96,5",,
12,NOTA,None of the Above,0.4%,"87,8",,
12,Tarun Singh,Aazad Samaj Party (Kanshi Ram),0.3%,"67,4",,
12,Chanderveer,Independent,0.2%,"43,5",,
12,Kapil Kumar,Rashtriya Samaj Paksha,0.17%,"36,7",,
12,Saleem Malik,Independent,0.16%,"34,7",,
12,Abhishek,Independent,0.15%,"33,7",,
12,Ajay Kashyap,Independent,0.09%,"20,8",,
12,Sangeeta,Jai Samta Party,0.06%,"12,5",,
12,Yawar Roshan,Aam Aadmi Party,0.04%,"97,",,
13,Anil Kumar,Rashtriya Lok Dal,43.09%,"92,672",,
13,Pramod Utwal,Bharatiya Janata Party,40.05%,"86,140",,
13,Surendra Pal Singh,Bahujan Samaj Party,12.91%,"27,778",,
13,Uma Kiran,Aazad Samaj Party (Kanshi Ram),1.08%,"23,21",,
13,Deepak Kumar,Indian National Congress,0.82%,"17,62",,
13,NOTA,None of the Above,0.43%,"92,1",,
13,Mukesh Kumar,Independent,0.41%,"88,4",,
13,Kavita,Bahujan Mukti Party,0.32%,"68,9",,
13,Neelam Devi,Independent,0.3%,"64,6",,
13,Anil Kumar,Aam Aadmi Party,0.28%,"59,2",,
13,Suneel Kumar,Independent,0.16%,"35,3",,
13,Sunita,Majdoor Kisan Union Party,0.15%,"32,7",,
14,Kapil Dev Agarwal,Bharatiya Janata Party,49.57%,"11,1794",,
14,SAURABH,Rashtriya Lok Dal,41.28%,"93,100",,
14,PUSPANKAR DEEPAK,Bahujan Samaj Party,4.76%,"10,733",,
14,MOHAMMED INTEZAR,All India Majlis-E-Ittehadul Muslimeen,1.66%,"37,50",,
14,SUBHODH SHARMA,Indian National Congress,0.75%,"16,94",,
14,Dharmendra Kumar,Independent,0.38%,"84,8",,
14,Parvez Alam,Aazad Samaj Party (Kanshi Ram),0.32%,"72,5",,
14,NOTA,None of the Above,0.3%,"67,5",,
14,Abha Sharma,Aam Aadmi Party,0.22%,"49,5",,
14,Raj Kishor Garg,Independent,0.18%,"41,0",,
14,RAJNISH,Rashtriya Samaj Paksha,0.17%,"39,4",,
14,Rahul Kumar Jain,Independent,0.13%,"30,1",,
14,SAMEY SINGH,Independent,0.09%,"21,0",,
14,Krishan Pal,Bharat Lok Sewak Party,0.08%,"17,1",,
14,Neeraj Goyal,Independent,0.06%,"14,1",,
14,LALIT KUMAR,Independent,0.05%,"10,2",,
15,VIKRAM SINGH,Bharatiya Janata Party,45.34%,"10,0651",,
15,RAJPAL SINGH SAINI,Rashtriya Lok Dal,37.98%,"84,306",,
15,KARTAR SINGH BHADANA,Bahujan Samaj Party,14.15%,"31,412",,
15,GAURAV KUMAR URF GAURAV BHATI,Indian National Congress,0.54%,"12,09",,
15,MANOJ PANWAR,Aazad Samaj Party (Kanshi Ram),0.38%,"84,3",,
15,NOTA,None of the Above,0.37%,"82,4",,
15,YAJPAL SINGH RATHI,Independent,0.27%,"60,1",,
15,BABLU RAM,Bharatiya Sarvodaya Kranti Party,0.27%,"59,5",,
15,PRAMOD ARYA,Independent,0.25%,"54,5",,
15,SELU,Shiv Sena,0.24%,"53,7",,
15,RAJU BHATIA,Pichhra Samaj Party,0.11%,"23,5",,
15,SATYAVEER SINGH,Independent,0.1%,"21,1",,
16,Chandan Chauhan,Rashtriya Lok Dal,49.57%,"10,7421",,
16,PRASHANT CHAUDHARY,Bharatiya Janata Party,36.94%,"80,041",,
16,MO. SALIM,Bahujan Samaj Party,10.98%,"23,797",,
16,UMESH,Aazad Samaj Party (Kanshi Ram),0.75%,"16,28",,
16,JAMIL AHMAD,Indian National Congress,0.58%,"12,58",,
16,NOTA,None of the Above,0.41%,"88,8",,
16,SHAH ALAM,Independent,0.19%,"41,0",,
16,KM. PRITI,Rashtra Nirman Party,0.14%,"30,9",,
16,MADAN PAL,Independent,0.13%,"28,3",,
16,HEM LATA,Independent,0.12%,"26,2",,
16,AMIT KUMAR,Independent,0.12%,"25,2",,
16,PRAVEZ ALAM,Rashtriya Samaj Dal (R),0.07%,"14,3",,
17,TASLEEM AHMAD,Samajwadi Party,44.14%,"10,2675",,
17,RAJA BHARATENDRA SINGH,Bharatiya Janata Party,33.92%,"78,905",,
17,SHAHNAWAZ ALAM,Bahujan Samaj Party,19.23%,"44,727",,
17,MOHD SALEEM ANSARI,Indian National Congress,0.84%,"19,58",,
17,NOTA,None of the Above,0.59%,"13,72",,
17,MOHD DANISH,Aazad Samaj Party (Kanshi Ram),0.25%,"57,5",,
17,HAMID HUSAIN,Independent,0.21%,"47,7",,
17,MO. UMAR,Gareeb Kranti Party,0.19%,"43,5",,
17,SHARVAN RAJPUT,Aam Aadmi Party,0.18%,"42,2",,
17,OM PRAKASH,Independent,0.15%,"35,7",,
17,SHAHNAWAZ,Independent,0.13%,"31,1",,
17,BEGRAJ,Rashtriya mahan Gantantra Party,0.09%,"20,8",,
17,BHUPENDRA SINGH,Ambedkar Samaj Party,0.08%,"19,3",,
18,MANOJ KUMAR PARAS,Samajwadi Party,43.51%,"97,155",,
18,DR YASHWANT SINGH,Bharatiya Janata Party,31.67%,"70,704",,
18,BRAJPAL,Bahujan Samaj Party,17.99%,"40,164",,
18,LALITA,All India Majlis-E-Ittehadul Muslimeen,4.26%,"95,15",,
18,SHRIMATI HENREITA,Indian National Congress,0.75%,"16,85",,
18,NOTA,None of the Above,0.53%,"11,83",,
18,BRIJPAL SINGH,Independent,0.38%,"85,3",,
18,SUNIL KUMAR,Independent,0.24%,"53,2",,
18,CHANDRAVEER SINGH,Independent,0.16%,"36,7",,
18,ABHINAY KUMAR,Peoples Party of India (Democratic),0.16%,"36,6",,
18,VIKAS KUMAR,Aazad Samaj Party (Kanshi Ram),0.14%,"30,8",,
18,TEJ SINGH,Ambedkar Samaj Party,0.1%,"22,6",,
18,ARJUN SINGH,Aam Aadmi Party,0.1%,"22,4",,
19,KUNWAR SUSHANT SINGH,Bharatiya Janata Party,41.58%,"10,0100",,
19,KAPIL KUMAR,Samajwadi Party,35.62%,"85,755",,
19,MOHAMMED GHAZI,Bahujan Samaj Party,19.37%,"46,638",,
19,AHASAN ALI,Indian National Congress,0.6%,"14,52",,
19,MOHIUDDIN ANSARI,All India Majlis-E-Ittehadul Muslimeen,0.42%,"10,19",,
19,ANIL KUMAR,Independent,0.36%,"85,8",,
19,IJAHAR,Aazad Samaj Party (Kanshi Ram),0.36%,"85,7",,
19,NOTA,None of the Above,0.35%,"84,9",,
19,HIRDESH KUMAR,Peoples Party of India (Democratic),0.33%,"79,2",,
19,CHANDRAPAL,Loktanter Suraksha Party,0.28%,"67,1",,
19,SHABNAM NAZ,Independent,0.19%,"45,3",,
19,NIRMAL MISHRA,Aam Aadmi Party,0.18%,"43,8",,
19,RAJIYA,Bhartiya Jan Samman Party,0.14%,"33,7",,
19,PADAM SINGH,Jan Adhikar Party,0.12%,"28,8",,
19,KHOOB SINGH,Pichhra Samaj Party,0.11%,"25,3",,
20,ASHOK KUMAR RANA,Bharatiya Janata Party,39.89%,"81,791",,
20,NAIM UL HASAN,Samajwadi Party,39.79%,"81,588",,
20,THAKUR MOOLCHAND CHAUHAN,Bahujan Samaj Party,19.01%,"38,993",,
20,NOTA,None of the Above,0.41%,"83,4",,
20,HUSSAIN AHMAD,Indian National Congress,0.39%,"79,0",,
20,VIVEK KUMAR,Aazad Samaj Party (Kanshi Ram),0.28%,"57,4",,
20,MEETAN,Pichhra Samaj Party,0.15%,"30,6",,
20,ARUN KUMAR GAHLOT,Aam Aadmi Party,0.09%,"19,1",,
21,OMKUMAR,Bharatiya Janata Party,38.98%,"77,935",,
21,MUNSHIRAM,Rashtriya Lok Dal,38.86%,"77,677",,
21,PRIYA SINGH,Bahujan Samaj Party,19.02%,"38,020",,
21,MEENAKSHI,Indian National Congress,0.67%,"13,43",,
21,ALOK KUMAR,Aazad Samaj Party (Kanshi Ram),0.67%,"13,38",,
21,NOTA,None of the Above,0.53%,"10,57",,
21,PRATAP SINGH,Bhartiya Damitjan Party,0.28%,"55,6",,
21,DILAWAR,Peoples Party of India (Democratic),0.23%,"45,1",,
21,RISHIPAL,Independent,0.22%,"44,8",,
21,OMKAR SINGH,Rashtrawadi Janlok Party (Satya),0.2%,"40,1",,
21,GITA,Ambedkar Samaj Party,0.18%,"35,7",,
21,VISHAL KUMAR,Aam Aadmi Party,0.17%,"33,1",,
22,Suchi,Bharatiya Janata Party,38.54%,"97,165",,
22,Neeraj Chaudhary,Rashtriya Lok Dal,37.96%,"95,720",,
22,Ruchi Vira,Bahujan Samaj Party,20.64%,"52,035",,
22,Munir Ahmed,All India Majlis-E-Ittehadul Muslimeen,0.91%,"22,90",,
22,NOTA,None of the Above,0.44%,"11,14",,
22,Amiruddin,Bhartiya Jan Samman Party,0.26%,"66,1",,
22,Gaurav Kumar,Peoples Party of India (Democratic),0.24%,"61,6",,
22,Mohan Lal,Independent,0.21%,"52,1",,
22,Mamun Ul Haq Urf Adil Naeem,Aazad Samaj Party (Kanshi Ram),0.2%,"50,0",,
22,Vineet,Aam Aadmi Party,0.16%,"39,9",,
22,Jitendra Kumar,Independent,0.15%,"38,2",,
22,Umesh Chand,Independent,0.13%,"32,8",,
22,Archana Chaudhary,Independent,0.08%,"21,2",,
22,Udai Veer Singh,Independent,0.08%,"19,9",,
23,SWAMI OMVESH,Samajwadi Party,40.34%,"90,522",,
23,KAMLESH SAINI,Bharatiya Janata Party,40.24%,"90,288",,
23,SHAKEEL AHMAD,Bahujan Samaj Party,16.65%,"37,359",,
23,YASIR ARAFAT,All India Majlis-E-Ittehadul Muslimeen,0.71%,"15,86",,
23,UDAY TYAGI,Indian National Congress,0.66%,"14,84",,
23,NOTA,None of the Above,0.38%,"85,4",,
23,AJAY PAL SINGH,Peoples Party of India (Democratic),0.34%,"75,5",,
23,VIJAY PAL SINGH,Independent,0.19%,"42,6",,
23,RAVINDRANATH TYAGI,Independent,0.17%,"39,1",,
23,MANOJ KUMAR,Aam Aadmi Party,0.16%,"36,4",,
23,KRISHAN KUMAR,Aazad Samaj Party (Kanshi Ram),0.15%,"34,5",,
24,RAM AVATAR SINGH,Samajwadi Party,43.27%,"92,574",,
24,CHANDRAPRAKASH SINGH,Bharatiya Janata Party,40.43%,"86,509",,
24,JIYAUDDIN,Bahujan Samaj Party,14.63%,"31,300",,
24,NOTA,None of the Above,0.44%,"94,6",,
24,BALA,Indian National Congress,0.42%,"88,8",,
24,JAHAN ARA,Samajwadi Andolan Party,0.25%,"54,1",,
24,NAYYAR JAHAN,Independent,0.15%,"31,3",,
24,AMIT KUMAR SINGH,Independent,0.12%,"26,4",,
24,ROVIN KUMAR SHARMA,Aam Aadmi Party,0.12%,"25,9",,
24,ATUL KUMAR,Independent,0.11%,"22,7",,
24,RAVENDRA KUMAR,Bhartiya Damitjan Party,0.07%,"14,8",,
25,Kamal Akhtar,Samajwadi Party,49.19%,"13,4692",,
25,Rajesh Kumar Singh,Bharatiya Janata Party,33.42%,"91,514",,
25,Afaq Ali Khan,Bahujan Samaj Party,13.27%,"36,341",,
25,Raisuddin,All India Majlis-E-Ittehadul Muslimeen,1.05%,"28,86",,
25,Kailash Kumar Saini,Loktanter Suraksha Party,0.81%,"22,08",,
25,Mohd Israr,Indian National Congress,0.54%,"14,70",,
25,NOTA,None of the Above,0.38%,"10,31",,
25,Omkar Singh,Independent,0.31%,"85,6",,
25,Mujfafar Khan,Independent,0.27%,"74,3",,
25,Dushyant Singh,Independent,0.17%,"45,5",,
25,Rajesh Kumar,Rashtriya Samaj Paksha,0.16%,"43,8",,
25,Tirilok Chandra Diwaker,Aam Aadmi Party,0.1%,"28,5",,
25,Humaira Akhtar,Independent,0.1%,"28,3",,
25,Mohd Aslam,Independent,0.1%,"27,7",,
25,Nar Singh Saini,Jan Adhikar Party,0.07%,"20,4",,
25,Nadir Ali Mansoori,Peace Party,0.06%,"15,6",,
26,NAVAB JAN,Samajwadi Party,48.76%,"13,4391",,
26,AJAY PRATAP SINGH,Bharatiya Janata Party,41.62%,"11,4707",,
26,MUJAHID ALI,Bahujan Samaj Party,8.04%,"22,163",,
26,SALMA AAGA,Indian National Congress,0.55%,"15,08",,
26,NOTA,None of the Above,0.38%,"10,61",,
26,SHAHNAWAJ,Independent,0.15%,"42,0",,
26,MOHD JAVED,Independent,0.13%,"36,3",,
26,JALALUDDIN,Aazad Samaj Party (Kanshi Ram),0.13%,"35,5",,
26,SHAH FAISAL ANSARI,Aam Aadmi Party,0.12%,"31,9",,
26,SURAJ SINGH,Rashtriya Samanta Dal,0.06%,"16,6",,
26,ABID,Independent,0.06%,"15,5",,
27,MOHD NASIR,Samajwadi Party,56.88%,"14,3337",,
27,K K MISRA,Bharatiya Janata Party,34.34%,"86,517",,
27,AKEEL CHOUDHARY,Bahujan Samaj Party,5.4%,"13,598",,
27,HAJI IKRAM QURESHI,Indian National Congress,1.03%,"25,95",,
27,MOHID FARGANI,All India Majlis-E-Ittehadul Muslimeen,0.94%,"23,80",,
27,NOTA,None of the Above,0.43%,"10,71",,
27,KAMAL KAPOOR,Independent,0.28%,"71,4",,
27,AKRAM,Aazad Samaj Party (Kanshi Ram),0.19%,"47,5",,
27,SHEESHPAL,Nagrik Ekta Party,0.14%,"36,4",,
27,ISHRAT ALI,Aam Aadmi Party,0.11%,"27,2",,
27,LUBNA SUHEL,Independent,0.1%,"24,3",,
27,VIVEK KUMAR BHATNAGAR,Lok Janshakti Party(Ram Vilas),0.06%,"15,9",,
27,SHISHUPAL SINGH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),0.06%,"14,1",,
27,AYYOOB,Peace Party,0.04%,"11,2",,
28,RITESH KUMAR GUPTA,Bharatiya Janata Party,46.12%,"14,8384",,
28,MOHD YUSUF ANSARI,Samajwadi Party,45.88%,"14,7602",,
28,IRSHAD HUSSAIN,Bahujan Samaj Party,4.36%,"14,013",,
28,RIZWAN QURESHI,Indian National Congress,1.66%,"53,51",,
28,WAQI RASHEED,All India Majlis-E-Ittehadul Muslimeen,0.83%,"26,61",,
28,NOTA,None of the Above,0.44%,"14,00",,
28,ARUN PRAKASH SINGH,Aam Aadmi Party,0.25%,"79,8",,
28,Avinash Chandra,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),0.17%,"55,8",,
28,VIPIN,Shiv Sena,0.11%,"35,5",,
28,SHAMSHAD AHMAD,Independent,0.1%,"32,3",,
28,MOHD DANISH,Aazad Samaj Party (Kanshi Ram),0.08%,"25,9",,
29,ZIA UR REHMAN,Samajwadi Party,46.28%,"12,5792",,
29,KAMAL KUMAR,Bharatiya Janata Party,30.4%,"82,630",,
29,MOHD. RIZWAN,Bahujan Samaj Party,15.73%,"42,742",,
29,MOHD. VARISH,All India Majlis-E-Ittehadul Muslimeen,5.24%,"14,251",,
29,NOTA,None of the Above,0.66%,"17,87",,
29,DARAKSHA BEGUM,Indian National Congress,0.63%,"17,16",,
29,JABIR HUSAIN,Aam Aadmi Party,0.36%,"97,7",,
29,SHAHNAWAZ,Independent,0.2%,"55,5",,
29,MUSLIM AHMAD,Independent,0.16%,"44,1",,
29,VIPIN KUMAR,Shiv Sena,0.13%,"35,0",,
29,MOHD. RIZWAN,Independent,0.11%,"29,8",,
29,FAIZAN,Independent,0.09%,"24,6",,
30,MOHAMMAD FAHEEM IRFAN,Samajwadi Party,39.92%,"95,338",,
30,PARMESHWAR LAL,Bharatiya Janata Party,36.73%,"87,728",,
30,ANIL KUMAR,Bahujan Samaj Party,17.76%,"42,411",,
30,KHALID ZAMAN,All India Majlis-E-Ittehadul Muslimeen,3.87%,"92,35",,
30,NOTA,None of the Above,0.59%,"14,17",,
30,KALPANA SINGH,Indian National Congress,0.59%,"14,11",,
30,PRAKASH CHANDRA,Aam Aadmi Party,0.35%,"83,7",,
30,SHAKIL AHAMAD SABRI,Peace Party,0.2%,"46,7",,
31,GULAB DEBI,Bharatiya Janata Party,49.53%,"11,2890",,
31,KM VIMLESH KUMARI,Samajwadi Party,34.01%,"77,523",,
31,RAN VIJAY SINGH,Bahujan Samaj Party,13.37%,"30,481",,
31,NOTA,None of the Above,0.9%,"20,59",,
31,MITHLESH KUMARI,Indian National Congress,0.7%,"15,95",,
31,ANIL BABU,Rashtriya Parivartan Dal,0.31%,"71,2",,
31,SACHIN KUMAR,Aam Aadmi Party,0.29%,"66,7",,
31,MANJU,Independent,0.26%,"58,9",,
31,RAJESH,Independent,0.25%,"58,1",,
31,RAVINDRA KUMAR,Aazad Samaj Party (Kanshi Ram),0.15%,"34,9",,
31,VIJAY PAL,Independent,0.14%,"31,1",,
31,Tejpal,Independent,0.08%,"17,7",,
32,PINKI SINGH,Samajwadi Party,42.92%,"11,1652",,
32,HARENDRA KUMAR,Bharatiya Janata Party,33.23%,"86,446",,
32,RAFATULLA,Bahujan Samaj Party,16.34%,"42,512",,
32,SHAKEEL AHMED,All India Majlis-E-Ittehadul Muslimeen,5.01%,"13,024",,
32,NOTA,None of the Above,0.69%,"17,88",,
32,MARGHOOB ALAM,Indian National Congress,0.58%,"15,11",,
32,ANJU,Aam Aadmi Party,0.31%,"81,5",,
32,MAHAVEER,Independent,0.3%,"78,5",,
32,NAVKESH,Independent,0.25%,"65,5",,
32,PAVAN KUMAR,Independent,0.19%,"49,3",,
32,TAUFEEQ,Independent,0.1%,"26,4",,
32,GUFRAN KHAN,Independent,0.08%,"20,7",,
33,IQBAL MEHMOOD,Samajwadi Party,43.73%,"10,7073",,
33,RAJESH SINGHAL,Bharatiya Janata Party,26.7%,"65,376",,
33,SHAKIL AHAMAD,Bahujan Samaj Party,18.15%,"44,443",,
33,MOHAMMAD MUSHIR KHAN TARIN,All India Majlis-E-Ittehadul Muslimeen,8.77%,"21,470",,
33,NIDA AHMAD,Indian National Congress,0.92%,"22,56",,
33,NOTA,None of the Above,0.49%,"12,04",,
33,IQBAL,Independent,0.3%,"74,2",,
33,ANSHUL,Independent,0.29%,"70,9",,
33,AJAY KUMAR,Independent,0.24%,"58,1",,
33,MOHD. KASHIF KHAN,Aam Aadmi Party,0.19%,"45,5",,
33,SABOOR HUSAIN,Independent,0.12%,"28,7",,
33,ZAHID,Shiv Sena,0.1%,"25,7",,
34,Mohammad Abdullah Azam Khan,Samajwadi Party,59.19%,"12,6162",,
34,Haidar Ali Khan Alias Hamza Mian,Apna Dal (Soneylal),30.52%,"65,059",,
34,Adhyapak Shanker Lal,Bahujan Samaj Party,7.05%,"15,035",,
34,Ikram Hussain,Independent,0.63%,"13,38",,
34,Ram Raksha Pal Singh Alias Raja Thakur,Indian National Congress,0.53%,"11,39",,
34,NOTA,None of the Above,0.48%,"10,31",,
34,Mohd Asif,Aam Aadmi Party,0.37%,"78,0",,
34,Monis Khan,Independent,0.36%,"77,4",,
34,Jagpal Singh,Pichhra Samaj Party,0.3%,"64,2",,
34,Shiv Prasad,Independent,0.28%,"60,4",,
34,Arshad Warsi,Minorities Democratic Party,0.28%,"59,6",,
35,Naseer Ahmad Khan,Samajwadi Party,50.34%,"10,0976",,
35,Mohan Kumar Lodhi,Bharatiya Janata Party,33.24%,"66,686",,
